reference,gene_name
X6RM59,X6RM59
X6RM24,X6RM24
X6RM00,X6RM00
X6RLY7,X6RLY7
X6RLX0,X6RLX0
X6RLV5,X6RLV5
X6RLU5,X6RLU5
X6RLT1,X6RLT1
X6RLR1,X6RLR1
X6RLP6,X6RLP6
X6RLN4,X6RLN4
X6RLL4,X6RLL4
X6RLK1,X6RLK1
X6RLJ0,X6RLJ0
X6RLA8,X6RLA8
X6RL83,X6RL83
X6RL62,X6RL62
X6RL45,X6RL45
X6RL26,X6RL26
X6RL08,X6RL08
X6RKY7,X6RKY7
X6RKU3,X6RKU3
X6RKS3,X6RKS3
X6RKQ2,X6RKQ2
X6RKN2,X6RKN2
X6RKL2,X6RKL2
X6RKG5,X6RKG5
X6RKE0,X6RKE0
X6RKB4,X6RKB4
X6RK96,X6RK96
X6RK76,X6RK76
X6RK58,X6RK58
X6RK39,X6RK39
X6RK18,X6RK18
X6RK00,X6RK00
X6RJY0,X6RJY0
X6RJV5,X6RJV5
X6RJS7,X6RJS7
X6RJP6,X6RJP6
X6RJK6,X6RJK6
X6RJF9,X6RJF9
X6RJD6,X6RJD6
X6RJB2,X6RJB2
X6RJ95,X6RJ95
X6RJ73,X6RJ73
X6RJ50,X6RJ50
X6RJ09,X6RJ09
X6RIY5,X6RIY5
X6RIW1,X6RIW1
X6RIU2,X6RIU2
X6RIR5,X6RIR5
X6RIP6,X6RIP6
X6RIL1,X6RIL1
X6RIG5,X6RIG5
X6RID7,X6RID7
X6RIA0,X6RIA0
X6RI79,X6RI79
X6RI56,X6RI56
X6RI37,X6RI37
X6RI15,X6RI15
X6RHZ2,X6RHZ2
X6RHX1,X6RHX1
X6RHV1,X6RHV1
X6RHS9,X6RHS9
X6RHR0,X6RHR0
X6RHN7,X6RHN7
X6RHM1,X6RHM1
X6RHK1,X6RHK1
X6RHI2,X6RHI2
X6RHF8,X6RHF8
X6RHD7,X6RHD7
X6RHB9,X6RHB9
X6RH99,X6RH99
X6RH80,X6RH80
X6RH63,X6RH63
X6RH50,X6RH50
X6RH27,X6RH27
X6RH03,X6RH03
X6RGY1,X6RGY1
X6RGV9,X6RGV9
X6RGT4,X6RGT4
X6RGR3,X6RGR3
X6RGP5,X6RGP5
X6RGM1,X6RGM1
X6RGK9,X6RGK9
X6RGJ2,X6RGJ2
X6RGH1,X6RGH1
X6RGF2,X6RGF2
